"","STATE","EVTYPE","Year","Month","FATALITIES","INJURIES","PROPDMG","CROPDMG"
"156","IA","TORNADO",1967,"Jan",1,11,1627.53,0
"157","IL","TORNADO",1967,"Jan",1,21,602.5,0
"158","LA","TORNADO",1967,"Jan",0,0,2.5,0
"159","MD","TORNADO",1967,"Jan",0,0,2.5,0
"160","MO","TORNADO",1967,"Jan",5,236,610.03,0
"161","MS","TORNADO",1967,"Jan",0,7,250,0
"162","OK","TORNADO",1967,"Jan",0,8,375,0
"163","WI","TORNADO",1967,"Jan",0,0,250,0
"164","AR","TSTM WIND",1967,"Jan",0,0,0,0
"165","IL","TSTM WIND",1967,"Jan",0,0,0,0
"166","KS","TSTM WIND",1967,"Jan",0,0,0,0
"167","LA","TSTM WIND",1967,"Jan",0,0,0,0
"168","MI","TSTM WIND",1967,"Jan",0,0,0,0
"169","MO","TSTM WIND",1967,"Jan",0,0,0,0
"170","MS","TSTM WIND",1967,"Jan",0,0,0,0
"171","OK","TSTM WIND",1967,"Jan",0,0,0,0
"172","VA","TSTM WIND",1967,"Jan",0,0,0,0
"173","WA","TSTM WIND",1967,"Jan",0,0,0,0
"174","WI","TSTM WIND",1967,"Jan",0,0,0,0
"175","AL","TORNADO",1968,"Jan",0,0,250,0
"176","FL","TORNADO",1968,"Jan",0,0,27.5,0
"177","TX","TORNADO",1968,"Jan",0,0,5,0
"178","AL","TSTM WIND",1968,"Jan",0,0,0,0
"179","FL","TSTM WIND",1968,"Jan",0,0,0,0
"180","LA","TSTM WIND",1968,"Jan",0,0,0,0
"181","AL","HAIL",1969,"Jan",0,0,0,0
"182","AR","HAIL",1969,"Jan",0,0,0,0
"183","FL","HAIL",1969,"Jan",0,0,0,0
"184","KY","HAIL",1969,"Jan",0,0,0,0
"185","MS","HAIL",1969,"Jan",0,0,0,0
"186","KY","TORNADO",1969,"Jan",0,0,2.5,0
"187","MS","TORNADO",1969,"Jan",32,241,1500,0
"188","TN","TORNADO",1969,"Jan",0,0,250,0
"189","AR","TSTM WIND",1969,"Jan",0,0,0,0
"190","FL","TSTM WIND",1969,"Jan",0,0,0,0
"191","KY","TSTM WIND",1969,"Jan",0,0,0,0
"192","OK","TSTM WIND",1969,"Jan",0,0,0,0
"193","FL","TORNADO",1970,"Jan",0,7,52.5,0
"194","GA","TORNADO",1970,"Jan",0,0,25,0
"195","LA","TORNADO",1970,"Jan",0,0,0,0
"196","TX","TORNADO",1970,"Jan",0,0,2.5,0
"197","FL","TSTM WIND",1970,"Jan",0,0,0,0
"198","IL","TSTM WIND",1970,"Jan",0,0,0,0
"199","LA","TSTM WIND",1970,"Jan",0,0,0,0
"200","TX","TSTM WIND",1970,"Jan",0,0,0,0
